Number,Gender,Age,Income
150,Female,48,42926
151,Male,37,60150
152,Male,51,38416
153,Female,54,43810
154,Male,63,71551
155,Female,36,25564
156,Female,32,28551
157,Male,48,45591
158,Female,51,47559
159,Male,59,53835
160,Male,29,55545
161,Female,27,57903
162,Male,49,63544
163,Female,54,39273
164,Female,63,38841
165,Female,47,48520
166,Male,55,54849
167,Male,45,50114
168,Female,43,36894
169,Male,25,42719
170,Female,56,47347
171,Female,54,35471
172,Male,40,60636
173,Female,28,48996
174,Female,44,39808
175,Male,47,45383
176,Male,25,43413
177,Female,65,50311
178,Female,38,45187
179,Male,54,60128
180,Male,64,55066
181,Female,38,41409
182,Male,51,48899
183,Female,28,32130
184,Male,50,59841
185,Male,47,40709
186,Female,41,25012
187,Male,28,40712
188,Female,44,36038
189,Female,56,47102
190,Male,30,63365
191,Male,64,22134
192,Male,34,40684
193,Male,52,51919
194,Female,54,40526
195,Male,52,48386
196,Male,32,46196
197,Male,51,44816
198,Male,45,63285
199,Female,58,19643
200,Female,37,37872
201,Male,56,47949
202,Male,35,32404
203,Male,36,70577
204,Male,58,44891
205,Male,40,42737
206,Male,55,53217
207,Male,39,53433
208,Female,40,16459
209,Female,27,40469
210,Male,26,53774
211,Male,38,34836
212,Male,34,41093
213,Female,47,47306
214,Female,44,36304
215,Female,40,32430
216,Female,33,28020
217,Female,41,35209
218,Male,42,58206
219,Female,43,41762
220,Female,55,44410
221,Female,51,38805
222,Female,30,34105
223,Male,45,59978
224,Female,47,40115
225,Female,61,42710
226,Male,33,65152
227,Female,39,57208
228,Male,53,49686
229,Male,57,54993
230,Male,61,65721
231,Female,53,26033
232,Male,27,65178
233,Male,26,51428
234,Male,40,57497
235,Male,56,42534
236,Male,42,55519
237,Female,29,31924
238,Female,54,48411
239,Male,32,51888
240,Female,33,51848
241,Male,49,23579
242,Male,35,61320
243,Male,49,40468
244,Male,34,52297
245,Female,61,32631
246,Female,40,-654
247,Female,52,38721
248,Female,35,40200
249,Male,45,66643
250,Male,44,47535
251,Male,44,37370
252,Male,56,51077
253,Male,56,58303
254,Female,64,39930
255,Male,41,61051
256,Female,54,37022
257,Male,56,59154
258,Female,46,39067
259,Male,54,51490
260,Male,38,53849
261,Male,28,44893
262,Female,44,39326
263,Male,28,59432
264,Female,61,50101
265,Male,44,41998
266,Male,62,56361
267,Male,50,41538
268,Male,31,56304
269,Male,59,45585
270,Male,26,64317
271,Male,47,43823
272,Female,60,40457
273,Female,53,33804
274,Male,63,51462
275,Male,55,48523
276,Male,63,43072
277,Male,43,46076
278,Male,31,56275
279,Female,61,42897
280,Female,65,41464
281,Male,34,47169
282,Male,38,36525
283,Female,62,34516
284,Male,31,49337
285,Male,60,44809
286,Male,58,59434
287,Female,30,37518
288,Female,46,32425
289,Male,41,45878
290,Female,28,49646
291,Female,38,51251
292,Male,40,46114
293,Female,44,54472
294,Male,54,42648
295,Female,60,37641
296,Male,30,46098
297,Male,26,42558
298,Male,39,47005
299,Male,41,51131
300,Male,57,59207
301,Male,36,64976
302,Male,56,51483
303,Male,34,45927
304,Male,32,67322
305,Male,57,37703
306,Female,62,64697
307,Male,61,44898
308,Female,37,34153
309,Male,36,57350
310,Male,50,46617
311,Male,46,34390
312,Female,34,34927
313,Male,63,59254
314,Female,44,49785
315,Male,44,55387
316,Male,26,54192
317,Male,50,56941
318,Female,65,22225
319,Female,39,33083
320,Male,37,59340
321,Male,48,38920
322,Female,40,25830
323,Male,25,56736
324,Male,28,30162
325,Male,38,56717
326,Female,44,38410
327,Male,54,44959
328,Female,47,28613
329,Female,42,36723
330,Female,62,29099
331,Male,50,44166
332,Female,61,41837
333,Male,29,57912
334,Male,63,55613
335,Male,51,60860
336,Male,28,67086
337,Male,45,42938
338,Male,44,45514
339,Male,36,40552
340,Female,29,33230
341,Male,49,59647
342,Male,44,68651
343,Male,37,48323
344,Male,42,42899
345,Male,30,49882
346,Male,47,71176
347,Female,36,36397
348,Female,33,53269
349,Female,55,37407
350,Male,39,42427
351,Male,61,31618
352,Female,51,31580
353,Female,35,11926
354,Female,49,35509
355,Male,43,58988
356,Male,37,32973
357,Female,34,27915
358,Male,51,55640
359,Female,48,36317
360,Female,27,53163
361,Male,62,28695
362,Female,33,23952
363,Female,33,31781
364,Male,50,43563
365,Female,32,31671
366,Female,49,42065
367,Female,59,27436
368,Female,52,46311
369,Female,43,45458
370,Female,44,47435
371,Male,44,46572
372,Female,25,46955
373,Female,36,41171
374,Female,36,51153
375,Male,60,56650
376,Male,61,44592
377,Female,43,38154
378,Male,47,58870
379,Female,63,52706
380,Male,54,45465
381,Female,48,41742
382,Male,36,34889
383,Female,61,50266
384,Female,30,51144
385,Male,45,70565
386,Male,57,34817
387,Male,61,50642
388,Female,56,11535
389,Male,42,65963
390,Male,37,53465
391,Female,48,33766
392,Female,38,47770
393,Female,54,34871
394,Female,54,45362
395,Male,36,52638
396,Female,36,20029
397,Male,34,42854
398,Male,62,49958
399,Male,50,26085
400,Male,38,43929
401,Male,42,39999
402,Male,43,51904
403,Female,35,26635
404,Male,42,53418
405,Male,65,54304
406,Male,39,62155
407,Female,65,6733
408,Female,47,26653
409,Male,27,54812
410,Female,43,42320
411,Male,56,62832
412,Male,62,60311
413,Female,60,38837
414,Female,53,42258
415,Male,35,55379
416,Male,29,54090
417,Male,51,56877
418,Male,42,40294
419,Male,31,36154
420,Female,59,43318
421,Male,46,47998
422,Male,42,34580
423,Female,56,50977
424,Female,28,58021
425,Male,33,34316
426,Female,59,38877
427,Female,40,43548
428,Female,56,42285
429,Male,52,52834
430,Female,36,47566
431,Male,51,44138
432,Male,55,49735
433,Female,48,39159
434,Female,54,54271
435,Female,58,42891
436,Female,61,45376
437,Female,64,51749
438,Male,31,30898
439,Male,28,45472
440,Male,59,54936
441,Female,27,43601
442,Female,64,38107
443,Male,25,51221
444,Male,49,50653
445,Female,60,59483
446,Male,30,41928
447,Male,41,52087
448,Male,47,42597
449,Female,46,41864
450,Male,43,41867
451,Male,56,51520
452,Male,64,56658
453,Female,26,41854
454,Female,30,43934
455,Female,38,41575
456,Male,42,32310
457,Male,42,61088
458,Male,30,43811
459,Male,50,64300
460,Female,36,33546
461,Male,64,55192
462,Female,40,41087
463,Male,62,39947
464,Male,41,48400
465,Male,41,39335
466,Male,53,58013
467,Male,38,60514
468,Female,45,46662
469,Male,28,49682
470,Male,65,52691
471,Female,58,27137
472,Male,59,53759
473,Male,41,64692
474,Female,39,66612
475,Female,38,51273
476,Male,62,48206
477,Male,37,37940
478,Female,30,64033
479,Male,39,52353
480,Male,29,53607
481,Female,57,55947
482,Male,41,56665
483,Female,29,51383
484,Female,48,57622
485,Male,58,42291
486,Female,30,30199
487,Male,57,54733
488,Female,27,40026
489,Male,49,49247
490,Male,60,52773
491,Male,52,48091
492,Female,35,48737
493,Female,32,29352
494,Male,33,31758
495,Male,29,55608
496,Male,44,51679
497,Male,44,42288
498,Male,58,55464
499,Male,38,57047
500,Female,59,30366
501,Male,50,51169
502,Male,39,46001
503,Female,33,34911
504,Male,51,47034
505,Female,55,54490
506,Female,29,52473
507,Female,54,38422
508,Female,29,29802
509,Male,44,60139
510,Female,36,29667
511,Female,55,47175
512,Female,65,35905
513,Female,59,43834
514,Male,41,58810
515,Female,42,41293
516,Male,40,41839
517,Male,44,30793
518,Male,38,54458
519,Male,49,49072
520,Male,57,54934
521,Male,35,41343
522,Male,38,53541
523,Male,26,48037
524,Male,41,41605
525,Male,60,45227
526,Female,34,42464
527,Male,62,63050
528,Male,63,42432
529,Male,61,59681
530,Female,45,49479
531,Male,38,62406
532,Male,63,44482
533,Female,38,26356
534,Female,39,40111
535,Male,56,28423
536,Female,27,46029
537,Female,51,43165
538,Female,33,35044
539,Male,28,43578
540,Male,54,44490
541,Male,54,53673
542,Male,30,40663
543,Male,29,48660
544,Female,27,48563
545,Male,32,61141
546,Male,43,53874
547,Female,37,51319
548,Male,53,60439
549,Male,34,71444
550,Male,52,35988
551,Male,26,42681
552,Male,48,47954
553,Male,30,53567
554,Female,41,47544
555,Male,52,37783
556,Female,54,42445
557,Female,51,26948
558,Female,57,39201
559,Female,59,41835
560,Female,64,29372
561,Female,28,46954
562,Male,63,60188
563,Male,28,49720
564,Female,61,47136
565,Male,59,34991
566,Female,44,41485
567,Female,41,44699
568,Female,47,61749
569,Male,58,49861
570,Female,31,51080
571,Male,28,58489
572,Male,39,39856
573,Male,36,40933
574,Female,50,40577
575,Female,38,38757
576,Male,59,45007
577,Male,49,44953
578,Male,39,50794
579,Female,31,42573
580,Male,31,45431
581,Female,35,26015
582,Male,34,34455
583,Female,63,47515
584,Male,51,54691
585,Male,63,43529
586,Male,60,28389
587,Male,60,54539
588,Female,48,43487
589,Male,46,64963
590,Female,32,40353
591,Female,49,45418
592,Female,60,20841
593,Male,62,37290
594,Male,29,31931
595,Female,57,36561
596,Female,40,34635
597,Male,55,38802
598,Male,44,55015
599,Male,37,52912
600,Female,56,45366
601,Male,33,65415
602,Female,36,43192
603,Male,53,64756
604,Female,57,23256
605,Male,30,38423
606,Male,34,65255
607,Male,42,27766
608,Female,57,37490
609,Male,49,33521
610,Female,43,59030
611,Male,27,44095
612,Female,33,17621
613,Male,50,56806
614,Male,61,36315
615,Male,49,40709
616,Female,27,32661
617,Male,34,55377
618,Female,47,54937
619,Male,56,51930
620,Male,33,47158
621,Female,43,27012
622,Male,35,62429
623,Female,48,33033
624,Male,51,67959
625,Male,56,44904
626,Male,25,55047
627,Male,31,53915
628,Male,57,25278
629,Female,52,13117
630,Male,60,55998
631,Female,39,56619
632,Female,45,24670
633,Male,60,40443
634,Female,33,18417
635,Female,26,46760
636,Male,27,57092
637,Female,36,48604
638,Female,31,57326
639,Female,29,32876
640,Male,41,64982
641,Female,58,41537
642,Male,61,64590
643,Male,25,46542
644,Female,44,47283
645,Female,41,50469
646,Female,33,25063
647,Male,33,56704
648,Female,34,28171
649,Male,34,51531
650,Female,42,38854
651,Male,31,28405
652,Female,30,38758
653,Female,26,39756
654,Male,49,48151
655,Male,60,46927
656,Male,29,67747
657,Female,37,42772
658,Female,53,33410
659,Male,31,44721
660,Male,58,53322
661,Male,61,45173
662,Male,36,48435
663,Male,62,68444
664,Male,48,58958
665,Male,34,49033
666,Male,37,40801
667,Male,58,50925
668,Female,61,35923
669,Male,39,31183
670,Female,37,43244
671,Female,33,26083
672,Male,59,58296
673,Male,27,47042
674,Male,58,54592
675,Male,62,54695
676,Male,56,58579
677,Female,29,26525
678,Male,59,41503
679,Male,64,60542
680,Male,35,40298
681,Female,26,31986
682,Male,44,54249
683,Male,35,49598
684,Male,58,47039
685,Female,55,25885
686,Male,56,42937
687,Female,32,32771
688,Female,64,24096
689,Male,50,65680
690,Male,62,46347
691,Male,55,50728
692,Female,61,34677
693,Male,41,54310
694,Female,56,36533
695,Male,27,47447
696,Female,63,46860
697,Male,57,32742
698,Female,27,52934
699,Male,64,33924
700,Male,37,41361
701,Female,26,44766
702,Male,49,59412
703,Male,50,70098
704,Male,32,52021
705,Male,41,43035
706,Male,44,52407
707,Male,47,61120
708,Female,57,17477
709,Male,43,39126
710,Female,53,36091
711,Male,44,56030
712,Male,60,44660
713,Female,60,32494
714,Female,54,30154
715,Female,65,37573
716,Male,58,66328
717,Female,51,46914
718,Male,26,48537
719,Female,44,34378
720,Male,46,56861
721,Female,46,36251
722,Female,55,35881
723,Female,35,40959
724,Female,58,46841
725,Male,58,51566
726,Male,38,42284
727,Male,43,62323
728,Male,46,62920
729,Male,46,44701
730,Male,53,57143
731,Male,39,58209
732,Female,32,25184
733,Male,47,40010
734,Male,37,35115
735,Male,54,66886
736,Male,54,63370
737,Male,33,60415
738,Male,44,52600
739,Female,33,41330
740,Female,28,55292
741,Female,61,47977
742,Male,40,45806
743,Male,52,50079
744,Male,32,48691
745,Female,44,18824
746,Female,28,37253
747,Male,61,38909
748,Female,32,29377
749,Female,54,22799
750,Female,37,37639
751,Male,32,55946
752,Female,47,38827
753,Female,27,39059
754,Male,25,38309
755,Female,44,32340
756,Male,54,55303
757,Male,55,61070
758,Male,33,34942
759,Male,49,44921
760,Male,36,48636
761,Male,56,53506
762,Male,56,51181
763,Male,35,49869
764,Male,61,47194
765,Female,30,22656
766,Female,46,43371
767,Female,64,44016
768,Male,34,29313
769,Female,44,39696
770,Male,52,39992
771,Female,45,43782
772,Female,47,28467
773,Male,48,32165
774,Female,58,30819
775,Male,36,44180
776,Male,47,60421
777,Female,36,37897
778,Male,55,49938
779,Male,31,46913
780,Female,34,55225
781,Female,56,38370
782,Male,33,59807
783,Male,52,41553
784,Female,50,20388
785,Male,30,33038
786,Female,38,34887
787,Male,60,39288
788,Male,33,47754
789,Female,48,35498
790,Female,62,35030
791,Female,41,32022
792,Female,30,35147
793,Female,59,33341
794,Female,60,40919
795,Male,40,68370
796,Female,59,44322
797,Female,38,41593
798,Male,40,37394
799,Female,29,43899
800,Male,27,46188
801,Male,64,48506
802,Female,49,42049
803,Male,49,73003
804,Female,54,24569
805,Male,29,46306
806,Female,55,27714
807,Female,29,44342
808,Female,53,33568
809,Male,25,53258
810,Female,28,35340
811,Male,32,53618
812,Male,30,56898
813,Male,30,37435
814,Male,32,55068
815,Female,27,36272
816,Female,59,31201
817,Female,54,50688
818,Female,53,42512
819,Male,38,34032
820,Male,34,72761
821,Female,34,45351
822,Female,53,30516
823,Male,36,61695
824,Male,42,37302
825,Male,26,29672
826,Female,45,42411
827,Male,62,51963
828,Female,61,50246
829,Female,59,44597
830,Male,48,56286
831,Male,29,45696
832,Male,43,62340
833,Male,49,46041
834,Male,65,49903
835,Male,33,51486
836,Female,45,42944
837,Male,44,58928
838,Male,62,45036
839,Female,55,21179
840,Female,62,23842
841,Male,62,56631
842,Male,33,28851
843,Female,37,41037
844,Male,64,42812
845,Male,57,43022
846,Female,43,54184
847,Male,45,51265
848,Male,56,54648
849,Female,31,49693
850,Female,41,53618
851,Female,63,60039
852,Female,51,40647
853,Female,55,43747
854,Male,55,29834
855,Male,34,60668
856,Male,28,46849
857,Female,61,41663
858,Male,29,33106
859,Male,50,54366
860,Male,45,42806
861,Female,63,40631
862,Female,27,43036
863,Male,56,36089
864,Female,51,49630
865,Male,40,37641
866,Female,58,53090
867,Male,37,60900
868,Male,27,56753
869,Male,40,53889
870,Female,34,36969
871,Female,39,29887
872,Male,30,61874
873,Male,64,54535
874,Male,48,48271
875,Male,30,41745
876,Male,41,51876
877,Male,57,44902
878,Female,30,38145
879,Male,59,50634
880,Female,59,44524
881,Female,49,42103
882,Female,28,35674
883,Male,48,41036
884,Male,40,57797
885,Male,44,42483
886,Male,59,32401
887,Male,32,57292
888,Male,39,44952
889,Female,48,34758
890,Male,26,43909
891,Male,47,51939
892,Female,59,23297
893,Male,52,54942
894,Male,57,53989
895,Female,28,29899
896,Female,45,34819
897,Male,56,54364
898,Male,54,59417
899,Female,46,46558
900,Male,62,61800
901,Female,29,53218
902,Male,32,62316
903,Male,63,57323
904,Male,43,52591
905,Male,45,58201
906,Male,42,71020
907,Female,35,25468
908,Female,48,48063
909,Female,34,41061
910,Male,38,56176
911,Male,64,64578
912,Female,60,44612
913,Female,36,40858
914,Male,46,34372
915,Male,30,76797
916,Female,57,52688
917,Female,39,44034
918,Male,45,49020
919,Male,48,49415
920,Female,49,45144
921,Male,29,50381
922,Female,42,46552
923,Male,57,38930
924,Male,53,54258
925,Male,31,45795
926,Male,50,74058
927,Female,60,43751
928,Female,64,45470
929,Female,37,29893
930,Female,25,38943
931,Male,62,38130
932,Female,42,33564
933,Male,61,35369
934,Male,52,44141
935,Male,28,41499
936,Female,61,48818
937,Male,36,50367
938,Male,64,55768
939,Female,63,41066
940,Female,28,32576
941,Female,38,17634
942,Female,48,40956
943,Female,26,43134
944,Male,25,48640
945,Male,34,38668
946,Male,31,35769
947,Female,58,37390
948,Male,26,62829
949,Female,60,41589
950,Male,32,52609
951,Female,33,53759
952,Male,31,70340
953,Female,51,40322
954,Female,40,45254
955,Male,48,70473
956,Female,60,41613
957,Female,45,32292
958,Male,34,43159
959,Male,41,42034
960,Male,55,45975
961,Male,57,72245
962,Female,58,32157
963,Male,34,55417
964,Female,42,46840
965,Female,54,27955
966,Female,32,59654
967,Male,62,45268
968,Female,40,56463
969,Male,35,56033
970,Male,62,54903
971,Male,60,62588
972,Male,64,48532
973,Female,45,51746
974,Male,63,55645
975,Female,27,32235
976,Male,39,63087
977,Female,64,56341
978,Male,53,47805
979,Male,35,57044
980,Male,55,43573
981,Female,62,29060
982,Male,46,21376
983,Male,55,61459
984,Female,34,41694
985,Male,45,51579
986,Male,57,49005
987,Female,45,53578
988,Male,40,32086
989,Female,37,37503
990,Female,65,49281
991,Female,52,42539
992,Female,52,46952
993,Male,51,48797
994,Male,36,31666
995,Female,51,53092
996,Male,37,48650
997,Male,63,38553
998,Female,38,45329
999,Male,64,67187
1000,Male,62,55827
1001,Male,37,53258
1002,Male,28,51142
1003,Male,37,54847
1004,Male,50,56307
1005,Male,61,41224
1006,Male,39,38873
1007,Male,45,46304
1008,Female,36,49689
1009,Female,33,16011
1010,Male,38,65653
1011,Female,36,26406
1012,Female,26,44931
1013,Male,53,52199
1014,Female,54,51477
1015,Female,36,41288
1016,Male,61,44053
1017,Male,48,43721
1018,Male,36,51406
1019,Female,62,51743
1020,Female,59,34273
1021,Male,48,43425
1022,Male,39,48264
1023,Female,41,36271
1024,Female,55,53962
1025,Male,26,47905
1026,Female,38,39390
1027,Female,58,48889
1028,Female,52,53959
1029,Male,39,64615
1030,Male,50,36821
1031,Female,40,45667
1032,Female,59,38260
1033,Male,42,49906
1034,Male,49,58842
1035,Female,45,58010
1036,Female,34,42861
1037,Male,31,50220
1038,Female,42,8613
1039,Male,59,29943
1040,Male,58,41653
1041,Male,56,64565
1042,Male,32,51041
1043,Female,59,48689
1044,Female,63,35931
1045,Male,65,78511
1046,Male,26,52713
1047,Female,30,36528
1048,Female,58,47536
1049,Male,52,46806
1050,Female,42,37339
1051,Female,52,57433
1052,Female,64,30578
1053,Female,26,48973
1054,Female,32,56606
1055,Female,34,22373
1056,Female,52,36149
1057,Female,48,34336
1058,Male,42,53857
1059,Male,60,39800
1060,Male,30,61293
1061,Male,52,39107
1062,Male,40,58161
1063,Male,48,53327
1064,Male,44,36663
1065,Female,39,44833
1066,Female,30,43727
1067,Female,35,57408
1068,Female,54,43645
1069,Male,42,37640
1070,Female,54,38697
1071,Female,28,27773
1072,Male,52,44474
1073,Male,61,64267
1074,Female,52,56072
1075,Male,48,62006
1076,Male,63,30102
1077,Female,35,26027
1078,Male,51,67914
1079,Female,62,26341
1080,Female,30,35656
1081,Male,45,35116
1082,Female,54,33992
1083,Male,62,43787
1084,Female,40,31674
1085,Female,50,37947
1086,Male,63,56412
1087,Female,40,26356
1088,Male,59,52591
1089,Female,38,29309
1090,Male,31,51619
1091,Male,48,80510
1092,Female,61,27424
1093,Male,35,42801
1094,Male,52,55627
1095,Female,57,54946
1096,Male,54,66035
1097,Female,49,35187
1098,Female,42,48487
1099,Male,52,59630
1100,Male,53,44220
1101,Male,59,47271
1102,Male,58,52057
1103,Male,33,36577
1104,Female,35,36714
1105,Male,53,40729
1106,Male,64,60760
1107,Male,29,52386
1108,Male,32,42439
1109,Male,48,52905
1110,Male,30,44974
1111,Female,48,34354
1112,Female,32,40714
1113,Female,52,42882
1114,Female,32,33812
1115,Female,41,29185
1116,Male,49,60030
1117,Male,32,55785
1118,Female,29,28619
1119,Male,64,45607
1120,Male,30,38956
1121,Male,51,45836
1122,Female,36,31058
1123,Male,29,49678
1124,Female,52,56113
1125,Male,61,54879
1126,Female,42,29911
1127,Male,61,63195
1128,Female,58,34265
1129,Male,61,27047
1130,Female,50,53204
1131,Female,52,32032
1132,Male,64,53924
1133,Male,27,53441
1134,Female,35,38158
1135,Male,48,43436
1136,Female,40,31951
1137,Male,64,39621
1138,Male,43,64943
1139,Female,65,43044
1140,Female,48,49861
1141,Female,29,32448
1142,Female,52,33585
1143,Male,46,52232
1144,Female,38,41839
1145,Female,34,48067
1146,Female,46,25775
1147,Female,26,52271
1148,Female,34,41016
1149,Male,51,66294
1150,Female,51,40794
1151,Male,60,57591
1152,Male,61,51921
1153,Female,54,47495
1154,Male,56,44325
1155,Male,37,55730
1156,Male,28,37800
1157,Male,42,35312
1158,Male,58,38383
1159,Female,33,44734
1160,Male,49,48366
1161,Female,51,26811
1162,Male,59,61855
1163,Female,63,53558
1164,Male,43,40268
1165,Female,28,53538
1166,Male,49,53156
1167,Female,54,31292
1168,Female,48,31420
1169,Female,62,35427
1170,Female,32,22083
1171,Female,55,33202
1172,Female,63,28263
1173,Female,64,36685
1174,Male,56,55359
1175,Male,35,72028
1176,Male,27,54770
1177,Male,58,63877
1178,Female,34,42827
1179,Male,65,39217
1180,Male,25,51130
1181,Male,29,56958
1182,Female,53,19540
1183,Female,29,47345
1184,Female,59,39361
1185,Male,60,52368
1186,Female,56,30693
1187,Male,38,51719
1188,Male,45,41569
1189,Male,45,53499
1190,Male,26,54044
1191,Male,47,46839
1192,Male,48,67528
1193,Male,51,42234
1194,Male,27,40762
1195,Female,59,12936
1196,Female,30,40726
1197,Male,61,54039
1198,Female,27,35478
1199,Male,44,51337
1200,Male,56,44458
1201,Female,64,32844
1202,Female,49,42330
1203,Male,44,78007
1204,Male,51,70772
1205,Female,42,24600
1206,Male,29,49985
1207,Female,55,23008
1208,Female,50,48252
1209,Male,57,59129
1210,Male,39,42216
1211,Female,39,48849
1212,Female,48,48380
1213,Male,36,51756
1214,Female,26,53647
1215,Female,45,42284
1216,Male,41,51953
1217,Male,44,51769
1218,Male,45,37838
1219,Male,65,57103
1220,Male,48,55028
1221,Male,51,39618
1222,Female,27,37322
1223,Female,50,36159
1224,Female,33,61632
1225,Male,43,43054
1226,Female,36,48141
1227,Male,61,39731
1228,Male,37,55647
1229,Male,49,56420
1230,Female,50,36240
1231,Male,41,40716
1232,Female,48,44708
1233,Male,51,56271
1234,Male,44,62002
1235,Female,26,67792
1236,Female,36,29717
1237,Male,46,53075
1238,Male,58,61433
1239,Male,43,45752
1240,Female,45,38662
1241,Male,64,41763
1242,Female,54,40193
1243,Male,42,46453
1244,Male,33,48622
1245,Female,45,37128
1246,Male,57,49923
1247,Female,57,43872
1248,Male,40,59585
1249,Male,49,53978
1250,Female,37,44850
1251,Female,51,48795
1252,Female,40,37686
1253,Male,65,56144
1254,Male,52,50360
1255,Female,50,56287
1256,Male,59,42490
1257,Male,44,68903
1258,Female,57,34501
1259,Male,33,37782
1260,Male,54,63665
1261,Male,49,27449
1262,Male,38,49374
1263,Female,38,34372
1264,Male,48,49930
1265,Male,58,35782
1266,Male,30,43341
1267,Male,32,35899
1268,Male,49,59808
1269,Male,42,60860
1270,Male,40,40680
1271,Male,25,49952
1272,Male,32,43154
1273,Female,55,25382
1274,Male,40,50847
1275,Female,41,43713
1276,Male,46,57223
1277,Female,58,46305
1278,Male,27,41623
1279,Female,60,40414
1280,Male,31,43177
1281,Male,38,56306
1282,Female,64,49331
1283,Male,31,69207
1284,Male,34,39603
1285,Male,46,54197
1286,Male,39,55642
1287,Female,55,35236
1288,Male,33,57947
1289,Female,47,39712
1290,Female,64,50673
1291,Male,47,48365
1292,Male,36,59153
1293,Male,43,46793
1294,Female,30,38289
1295,Female,42,42091
1296,Female,40,16128
1297,Female,48,37918
1298,Female,60,46595
1299,Male,52,51252
1300,Female,42,31446
1301,Female,60,29344
1302,Male,38,42456
1303,Male,45,63361
1304,Female,52,40278
1305,Male,53,66016
1306,Female,64,26628
1307,Male,42,48764
1308,Female,45,38151
1309,Male,40,65836
1310,Female,54,34549
1311,Female,30,42116
1312,Female,35,30412
1313,Male,31,64413
1314,Female,42,43255
1315,Male,35,55791
1316,Female,40,47367
1317,Male,48,23359
1318,Male,63,52462
1319,Male,26,39820
1320,Male,30,48601
1321,Male,56,43527
1322,Male,59,45684
1323,Male,56,39716
1324,Male,26,57737
1325,Female,31,34200
1326,Female,30,47378
1327,Male,27,56319
1328,Male,64,57466
1329,Male,53,52359
1330,Male,33,36220
1331,Female,29,27035
1332,Male,62,37244
1333,Male,50,49449
1334,Male,36,51771
1335,Male,57,72630
1336,Male,28,65011
1337,Female,45,25387
1338,Male,42,51018
1339,Female,35,31257
1340,Male,41,46134
1341,Male,55,41754
1342,Female,32,36870
1343,Female,43,67638
1344,Female,38,50741
1345,Male,54,51404
1346,Female,63,43744
1347,Female,63,48793
1348,Female,63,34758
1349,Male,43,41910
1350,Male,39,28361
1351,Male,47,51627
1352,Female,59,51228
1353,Male,36,57313
1354,Male,65,63460
1355,Male,42,61870
1356,Male,65,30139
1357,Male,54,45873
1358,Female,48,28646
1359,Male,26,58120
1360,Female,32,47570
1361,Female,43,55966
